"seqID"	"group"	"ind"	"preda"	"loca"	"dis"	"seqcall"	"first_call"	"elementA"	"elementB"	"elementD"	"elementE"	"propA"	"propB"	"propC"	"propD"	"propE"	"meaninterval"	"CVinterval"	"gramme-BB"	"gramme-BBBBB"	"gramme-BBBB"	"gramme-BBB"	"gramme-BBBDB"	"gramme-BBDB"	"gramme-BBDBB"	"gramme-BDB"	"gramme-BDBB"	"gramme-BDBBB"	"gramme-DB"	"gramme-DBB"	"gramme-DBBB"	"gramme-DBBBB"	"gramme-BBDD"	"gramme-BBDDB"	"gramme-BDD"	"gramme-BDDB"	"gramme-DD"	"gramme-DDB"	"gramme-DDBBD"	"gramme-DBBD"	"gramme-DBBDB"	"gramme-BBD"	"gramme-BD"	"gramme-BDBBD"	"gramme-BBDBD"	"gramme-BDBD"	"gramme-BDBDD"	"gramme-DBD"	"gramme-DBDD"	"gramme-BBBBD"	"gramme-BBBD"	"gramme-BDBDB"	"gramme-DBDB"	"gramme-ABBBB"	"gramme-BBBAB"	"gramme-BBAB"	"gramme-BBABB"	"gramme-BAB"	"gramme-BABB"	"gramme-BABBD"	"gramme-AB"	"gramme-ABB"	"gramme-ABBD"	"gramme-BDBBA"	"gramme-DBBA"	"gramme-DBBAB"	"gramme-BBA"	"gramme-BA"	"gramme-BABBA"	"gramme-ABBA"	"gramme-BABBB"	"gramme-ABBB"	"gramme-BDDBD"	"gramme-DDBD"	"gramme-DBBBD"	"gramme-BBBDD"	"gramme-AAABC"	"gramme-AABC"	"gramme-ABC"	"gramme-BC"	"gramme-BBBBN"	"gramme-BBBN"	"gramme-BBBNB"	"gramme-BBN"	"gramme-BBNB"	"gramme-BN"	"gramme-BNB"	"gramme-NB"	"gramme-BBNBB"	"gramme-BNBB"	"gramme-BNBBB"	"gramme-NBB"	"gramme-NBBB"	"gramme-CACCB"	"gramme-ACCB"	"gramme-CCB"	"gramme-CB"	"gramme-BABNB"	"gramme-ABNB"	"gramme-BBBCC"	"gramme-BBCC"	"gramme-BCC"	"gramme-CC"	"gramme-BBDDD"	"gramme-BDDD"	"gramme-DDD"	"gramme-AAAAA"	"gramme-AAAA"	"gramme-AAA"	"gramme-AA"	"gramme-BBBBA"	"gramme-BBBA"	"gramme-AAABA"	"gramme-AABA"	"gramme-ABA"	"gramme-EEEAB"	"gramme-EEAB"	"gramme-EAB"	"gramme-BDDDD"	"gramme-DDDD"	"gramme-DDDDB"	"gramme-DDDB"	"gramme-DDDBD"	"gramme-DBDDD"	"gramme-DDDBB"	"gramme-DDBB"	"gramme-DDBBB"	"gramme-DDDDD"	"gramme-DDBDB"	"gramme-DBDBB"	"gramme-DBDDB"	"gramme-BDDBB"	"bigrSlope"	"entroSlope"	"tpSA"	"tpSB"	"tpAA"	"tpAB"	"tpBA"	"tpBB"	"tpBD"	"tpDB"	"tpDD"	"Name_seq"	"Predator"	"Height_model"	"Height_ind"	"Num_ind"	"Num_In"	"Num_Jv"	"Num_Sb"	"Jv_fem"	"Sb_fem"	"Ad_fem"	"Paired_Ad"	"Non_paried_Ad"
"11"	21	"M"	"ML"	"Aer"	"Down"	8	"AAAAAAAAAA"	"A"	0	0	0	0	0.733333333333333	0.0666666666666667	0.0666666666666667	0.0666666666666667	0.0666666666666667	2.36775510204082	1.12291061553737	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.964285714285714	0	0.666666666666667	0.333333333333333	0.714285714285714	0.0714285714285714	0.2	0.2	0.2	0.2	0.2	"20160202-10h53-gM-predator_presentation-caracara_ground"	"Rap"	"0"	6	5	0	1	1	0	0	2	2	1
"12"	22	"M"	"MR"	"Aer"	"Up"	8	"AAAAAAAAAA"	"A"	0	0	0	0	0.733333333333333	0.0666666666666667	0.0666666666666667	0.0666666666666667	0.0666666666666667	1.28224489795918	0.519305981503186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.964285714285714	0	0.666666666666667	0.333333333333333	0.714285714285714	0.0714285714285714	0.2	0.2	0.2	0.2	0.2	"20160502-12h38-gM-presentation_predateur-caracara_canopy"	"Rap"	"6"	6	5	0	1	1	0	0	2	2	1
"13"	23	"M"	"ML"	"Ter"	"Up"	5	"BBBBBBBBBB"	"B"	0	0	0	0	0.0666666666666667	0.733333333333333	0.0666666666666667	0.0666666666666667	0.0666666666666667	0.631632653061225	0.665385812037662	11	11	11	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.964285714285714	0	0.333333333333333	0.666666666666667	0.2	0.2	0.0714285714285714	0.714285714285714	0.0714285714285714	0.2	0.2	"20160726-15h06-gM-predator_presentation-tayra_canopy"	"Tay"	"6"	6	5	0	1	1	0	0	2	2	1
"14"	24	"M"	"MK"	"Ter"	"Down"	8	"BBBBBBBBBB"	"B"	0	0	0	0	0.0666666666666667	0.733333333333333	0.0666666666666667	0.0666666666666667	0.0666666666666667	0.587755102040817	0.617210578532672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.964285714285714	0	0.333333333333333	0.666666666666667	0.2	0.2	0.0714285714285714	0.714285714285714	0.0714285714285714	0.2	0.2	"20160807-12h40-gM-predator_presentation-tayra_ground"	"Tay"	"0"	6	5	0	1	1	0	0	2	2	1
"15"	27	"P"	"PT"	"Ter"	"Down"	12	"ABBBBBBBBB"	"A"	-0.165144564768954	0.165144564768954	0	0	0.133333333333333	0.666666666666667	0.0666666666666667	0.0666666666666667	0.0666666666666667	0.593265306122449	0.662985944601693	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.928571428571429	-0.248370832612177	0.666666666666667	0.333333333333333	0.166666666666667	0.333333333333333	0.0769230769230769	0.692307692307692	0.0769230769230769	0.2	0.2	"20150605-15h06-gP-predator_presentation-oncilla_ground"	"Onc"	"0"	6	6	1	0	1	0	0	1	2	2
"16"	28	"P"	"PC"	"Ter"	"Up"	12	"BBBBBBBBBB"	"B"	0	0	0	0	0.0666666666666667	0.733333333333333	0.0666666666666667	0.0666666666666667	0.0666666666666667	0.386530612244898	0.715455072695925	25	23	23	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.964285714285714	0	0.333333333333333	0.666666666666667	0.2	0.2	0.0714285714285714	0.714285714285714	0.0714285714285714	0.2	0.2	"20160215-10h28-gP-predator-presentation_oncilla-up"	"Onc"	"5"	4	5	0	1	0	1	0	1	2	2
"17"	31	"P"	"PC"	"Aer"	"Up"	12	"AAAAAACACC"	"A"	-0.348638525623348	0	0	0	0.533333333333333	0.0666666666666667	0.266666666666667	0.0666666666666667	0.0666666666666667	6.05755102040816	1.50546771919225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.535714285714286	0.328871363252445	0.666666666666667	0.333333333333333	0.5	0.0833333333333333	0.2	0.2	0.2	0.2	0.2	"20160427-12h18-gP-presentation_predateur-caracara_canopy"	"Rap"	"6"	7	5	0	1	0	1	0	1	2	2
"18"	32	"P"	"PS"	"Aer"	"Down"	8	"AABAABACBA"	"A"	-0.146795168683515	0.0550481882563181	0	0	0.466666666666667	0.266666666666667	0.133333333333333	0.0666666666666667	0.0666666666666667	4.35816326530612	2.60315038881287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.535714285714286	0.306098611351496	0.666666666666667	0.333333333333333	0.3	0.3	0.5	0.125	0.125	0.2	0.2	"20160511-12h11-gP-presentation_predateur-caracara_ground"	"Rap"	"0"	8	5	0	1	0	1	0	1	2	2
"19"	33	"P"	"PC"	"Ter"	"Down"	8	"BBBBBBBBBB"	"B"	0	0	0	0	0.0666666666666667	0.733333333333333	0.0666666666666667	0.0666666666666667	0.0666666666666667	0.476938775510204	0.630890018281208	14	14	14	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.964285714285714	0	0.333333333333333	0.666666666666667	0.2	0.2	0.0714285714285714	0.714285714285714	0.0714285714285714	0.2	0.2	"20160530-08h41-gP-predator_presentation_tayra_ground"	"Tay"	"0"	6	5	0	1	0	1	0	1	2	2
"20"	34	"P"	"PP"	"Ter"	"Up"	15	"BBBBBBBBBB"	"B"	0	0	0	0	0.0666666666666667	0.733333333333333	0.0666666666666667	0.0666666666666667	0.0666666666666667	0.69673469387755	0.83004553476889	10	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.964285714285714	0	0.333333333333333	0.666666666666667	0.2	0.2	0.0714285714285714	0.714285714285714	0.0714285714285714	0.2	0.2	"20160729-13h21-gP-predator_presentation-tayra_canopy"	"Tay"	"6"	8	4	0	1	0	1	0	1	2	1
